goods_code_2,Description_2,indent,CODE_2,CODE_4,CODE_6,CODE_8,CODE_10,CODE_14
0100000000 80,LIVE ANIMALS,NULL,01,00,00,00,00,80
0200000000 80,MEAT AND EDIBLE MEAT OFFAL,NULL,02,00,00,00,00,80
0300000000 80,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",NULL,03,00,00,00,00,80
2200000000 80,"BEVERAGES, SPIRITS AND VINEGAR",NULL,22,00,00,00,00,80
0900000000 80,"COFFEE, TEA, MATÉ AND SPICES",NULL,09,00,00,00,00,80
1000000000 80,CEREALS,NULL,10,00,00,00,00,80
1100000000 80,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN,NULL,11,00,00,00,00,80
2300000000 80,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER,NULL,23,00,00,00,00,80
2400000000 80,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,NULL,24,00,00,00,00,80
2500000000 80,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",NULL,25,00,00,00,00,80
1200000000 80,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER",NULL,12,00,00,00,00,80
1300000000 80,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS",NULL,13,00,00,00,00,80
1400000000 80,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED,NULL,14,00,00,00,00,80
1500000000 80,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,NULL,15,00,00,00,00,80
2600000000 80,"ORES, SLAG AND ASH",NULL,26,00,00,00,00,80
2700000000 80,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",NULL,27,00,00,00,00,80
0400000000 80,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",NULL,04,00,00,00,00,80
1600000000 80,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",NULL,16,00,00,00,00,80
2800000000 80,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES",NULL,28,00,00,00,00,80
0500000000 80,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",NULL,05,00,00,00,00,80
1700000000 80,SUGARS AND SUGAR CONFECTIONERY,NULL,17,00,00,00,00,80
1800000000 80,COCOA AND COCOA PREPARATIONS,NULL,18,00,00,00,00,80
1900000000 80,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS",NULL,19,00,00,00,00,80
0600000000 80,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",NULL,06,00,00,00,00,80
0700000000 80,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,NULL,07,00,00,00,00,80
2900000000 80,ORGANIC CHEMICALS,NULL,29,00,00,00,00,80
0800000000 80,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS,NULL,08,00,00,00,00,80
4600000000 80,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK",NULL,46,00,00,00,00,80
3000000000 80,PHARMACEUTICAL PRODUCTS,NULL,30,00,00,00,00,80
3100000000 80,FERTILISERS,NULL,31,00,00,00,00,80
3200000000 80,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",NULL,32,00,00,00,00,80
2000000000 80,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS",NULL,20,00,00,00,00,80
4700000000 80,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD,NULL,47,00,00,00,00,80
4800000000 80,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD",NULL,48,00,00,00,00,80
3300000000 80,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS",NULL,33,00,00,00,00,80
3400000000 80,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, 'DENTAL WAXES' AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER",NULL,34,00,00,00,00,80
3500000000 80,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES,NULL,35,00,00,00,00,80
3600000000 80,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS,NULL,36,00,00,00,00,80
3700000000 80,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,NULL,37,00,00,00,00,80
3800000000 80,MISCELLANEOUS CHEMICAL PRODUCTS,NULL,38,00,00,00,00,80
4900000000 80,"PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS",NULL,49,00,00,00,00,80
5000000000 80,SILK,NULL,50,00,00,00,00,80
5100000000 80,"WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC",NULL,51,00,00,00,00,80
5200000000 80,COTTON,NULL,52,00,00,00,00,80
5300000000 80,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN,NULL,53,00,00,00,00,80
2100000000 80,MISCELLANEOUS EDIBLE PREPARATIONS,NULL,21,00,00,00,00,80
7800000000 80,LEAD AND ARTICLES THEREOF,NULL,78,00,00,00,00,80
7900000000 80,ZINC AND ARTICLES THEREOF,NULL,79,00,00,00,00,80
8000000000 80,TIN AND ARTICLES THEREOF,NULL,80,00,00,00,00,80
8100000000 80,OTHER BASE METALS; CERMETS; ARTICLES THEREOF,NULL,81,00,00,00,00,80
6900000000 80,CERAMIC PRODUCTS,NULL,69,00,00,00,00,80
7000000000 80,GLASS AND GLASSWARE,NULL,70,00,00,00,00,80
8200000000 80,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL",NULL,82,00,00,00,00,80
8300000000 80,MISCELLANEOUS ARTICLES OF BASE METAL,NULL,83,00,00,00,00,80
5400000000 80,MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS,NULL,54,00,00,00,00,80
5500000000 80,MAN-MADE STAPLE FIBRES,NULL,55,00,00,00,00,80
7100000000 80,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN",NULL,71,00,00,00,00,80
7200000000 80,IRON AND STEEL,NULL,72,00,00,00,00,80
8400000000 80,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF",NULL,84,00,00,00,00,80
5600000000 80,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF",NULL,56,00,00,00,00,80
5700000000 80,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,NULL,57,00,00,00,00,80
3900000000 80,PLASTICS AND ARTICLES THEREOF,NULL,39,00,00,00,00,80
5800000000 80,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY,NULL,58,00,00,00,00,80
5900000000 80,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE",NULL,59,00,00,00,00,80
6000000000 80,KNITTED OR CROCHETED FABRICS,NULL,60,00,00,00,00,80
6100000000 80,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED",NULL,61,00,00,00,00,80
6200000000 80,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED",NULL,62,00,00,00,00,80
7300000000 80,ARTICLES OF IRON OR STEEL,NULL,73,00,00,00,00,80
6300000000 80,OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,NULL,63,00,00,00,00,80
6400000000 80,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES",NULL,64,00,00,00,00,80
4000000000 80,RUBBER AND ARTICLES THEREOF,NULL,40,00,00,00,00,80
6500000000 80,HEADGEAR AND PARTS THEREOF,NULL,65,00,00,00,00,80
6600000000 80,"UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF",NULL,66,00,00,00,00,80
6700000000 80,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,NULL,67,00,00,00,00,80
6800000000 80,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS",NULL,68,00,00,00,00,80
4100000000 80,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NULL,41,00,00,00,00,80
4200000000 80,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)",NULL,42,00,00,00,00,80
7400000000 80,COPPER AND ARTICLES THEREOF,NULL,74,00,00,00,00,80
8500000000 80,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES",NULL,85,00,00,00,00,80
4300000000 80,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,NULL,43,00,00,00,00,80
4400000000 80,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,NULL,44,00,00,00,00,80
7500000000 80,NICKEL AND ARTICLES THEREOF,NULL,75,00,00,00,00,80
7600000000 80,ALUMINIUM AND ARTICLES THEREOF,NULL,76,00,00,00,00,80
4500000000 80,CORK AND ARTICLES OF CORK,NULL,45,00,00,00,00,80
9100000000 80,CLOCKS AND WATCHES AND PARTS THEREOF,NULL,91,00,00,00,00,80
9200000000 80,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES,NULL,92,00,00,00,00,80
9300000000 80,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,NULL,93,00,00,00,00,80
9400000000 80,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS",NULL,94,00,00,00,00,80
9500000000 80,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF",NULL,95,00,00,00,00,80
9600000000 80,MISCELLANEOUS MANUFACTURED ARTICLES,NULL,96,00,00,00,00,80
9700000000 80,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES",NULL,97,00,00,00,00,80
9800000000 80,COMPLETE INDUSTRIAL PLANT,NULL,98,00,00,00,00,80
9900000000 80,SPECIAL COMBINED NOMENCLATURE CODES,NULL,99,00,00,00,00,80
8600000000 80,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS",NULL,86,00,00,00,00,80
8700000000 80,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF",NULL,87,00,00,00,00,80
8800000000 80,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",NULL,88,00,00,00,00,80
8900000000 80,"SHIPS, BOATS AND FLOATING STRUCTURES",NULL,89,00,00,00,00,80
9000000000 80,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF",NULL,90,00,00,00,00,80
